Nombre,Retuits,Fecha,Dia del año,Dia de la semana
Pablo_Iglesias_,761,Wed Dec 13 09:48:29 CET 2017,347,Miércoles,
Pablo_Iglesias_,810,Tue Dec 12 20:31:05 CET 2017,346,Martes,
Pablo_Iglesias_,6563,Tue Dec 12 19:34:17 CET 2017,346,Martes,
Pablo_Iglesias_,508,Tue Dec 12 16:29:21 CET 2017,346,Martes,
Pablo_Iglesias_,221,Tue Dec 12 15:46:46 CET 2017,346,Martes,
Pablo_Iglesias_,608,Tue Dec 12 14:28:30 CET 2017,346,Martes,
Pablo_Iglesias_,145,Tue Dec 12 12:38:52 CET 2017,346,Martes,
Pablo_Iglesias_,251,Tue Dec 12 12:16:59 CET 2017,346,Martes,
Pablo_Iglesias_,1482,Tue Dec 12 10:35:05 CET 2017,346,Martes,
Pablo_Iglesias_,1102,Mon Dec 11 21:03:05 CET 2017,345,Lunes,
Pablo_Iglesias_,0,Mon Dec 11 18:24:17 CET 2017,345,Lunes,
Pablo_Iglesias_,766,Mon Dec 11 13:00:51 CET 2017,345,Lunes,
Pablo_Iglesias_,207,Sat Dec 09 21:03:30 CET 2017,343,Sábado,
Pablo_Iglesias_,181,Sat Dec 09 11:29:10 CET 2017,343,Sábado,
Pablo_Iglesias_,380,Thu Dec 07 22:53:10 CET 2017,341,Jueves,
Pablo_Iglesias_,743,Thu Dec 07 17:00:03 CET 2017,341,Jueves,
Pablo_Iglesias_,550,Thu Dec 07 15:45:49 CET 2017,341,Jueves,
Pablo_Iglesias_,5784,Thu Dec 07 08:58:00 CET 2017,341,Jueves,
Pablo_Iglesias_,720,Wed Dec 06 23:09:37 CET 2017,340,Miércoles,
Pablo_Iglesias_,1773,Wed Dec 06 12:01:40 CET 2017,340,Miércoles,
Pablo_Iglesias_,400,Tue Dec 05 12:31:39 CET 2017,339,Martes,
Pablo_Iglesias_,198,Mon Dec 04 21:24:16 CET 2017,338,Lunes,
Pablo_Iglesias_,786,Mon Dec 04 18:06:34 CET 2017,338,Lunes,
Pablo_Iglesias_,257,Mon Dec 04 15:48:08 CET 2017,338,Lunes,
Pablo_Iglesias_,590,Mon Dec 04 14:10:37 CET 2017,338,Lunes,
Pablo_Iglesias_,492,Mon Dec 04 13:32:42 CET 2017,338,Lunes,
Pablo_Iglesias_,1175,Sun Dec 03 20:21:17 CET 2017,337,Domingo,
Pablo_Iglesias_,286,Sun Dec 03 10:41:53 CET 2017,337,Domingo,
Pablo_Iglesias_,1243,Sat Dec 02 13:17:39 CET 2017,336,Sábado,
Pablo_Iglesias_,18,Sat Dec 02 01:29:45 CET 2017,336,Sábado,
Pablo_Iglesias_,1923,Fri Dec 01 22:41:25 CET 2017,335,Viernes,
Pablo_Iglesias_,3950,Fri Dec 01 19:00:36 CET 2017,335,Viernes,
Pablo_Iglesias_,208,Fri Dec 01 16:50:39 CET 2017,335,Viernes,
Pablo_Iglesias_,300,Fri Dec 01 12:49:06 CET 2017,335,Viernes,
Pablo_Iglesias_,1115,Thu Nov 30 16:09:57 CET 2017,334,Jueves,
Pablo_Iglesias_,325,Thu Nov 30 13:50:25 CET 2017,334,Jueves,
Pablo_Iglesias_,310,Thu Nov 30 11:13:02 CET 2017,334,Jueves,
Pablo_Iglesias_,6,Thu Nov 30 10:06:26 CET 2017,334,Jueves,
Pablo_Iglesias_,394,Wed Nov 29 20:14:58 CET 2017,333,Miércoles,
Albert_Rivera,28,Wed Dec 13 11:16:15 CET 2017,347,Miércoles,
Albert_Rivera,214,Wed Dec 13 09:31:59 CET 2017,347,Miércoles,
Albert_Rivera,619,Wed Dec 13 09:14:49 CET 2017,347,Miércoles,
Albert_Rivera,306,Tue Dec 12 22:49:22 CET 2017,346,Martes,
Albert_Rivera,772,Tue Dec 12 21:20:50 CET 2017,346,Martes,
Albert_Rivera,474,Tue Dec 12 18:09:20 CET 2017,346,Martes,
Albert_Rivera,113,Tue Dec 12 18:04:10 CET 2017,346,Martes,
Albert_Rivera,375,Tue Dec 12 14:52:56 CET 2017,346,Martes,
Albert_Rivera,449,Tue Dec 12 14:50:27 CET 2017,346,Martes,
Albert_Rivera,119,Tue Dec 12 13:37:51 CET 2017,346,Martes,
Albert_Rivera,142,Tue Dec 12 12:44:46 CET 2017,346,Martes,
Albert_Rivera,184,Tue Dec 12 12:34:33 CET 2017,346,Martes,
Albert_Rivera,1999,Tue Dec 12 08:51:11 CET 2017,346,Martes,
Albert_Rivera,289,Tue Dec 12 08:35:19 CET 2017,346,Martes,
Albert_Rivera,3708,Mon Dec 11 23:36:05 CET 2017,345,Lunes,
Albert_Rivera,292,Mon Dec 11 16:12:37 CET 2017,345,Lunes,
Albert_Rivera,1062,Mon Dec 11 11:59:02 CET 2017,345,Lunes,
Albert_Rivera,289,Mon Dec 11 11:44:34 CET 2017,345,Lunes,
Albert_Rivera,48,Mon Dec 11 08:20:41 CET 2017,345,Lunes,
Albert_Rivera,226,Mon Dec 11 08:17:09 CET 2017,345,Lunes,
Albert_Rivera,585,Mon Dec 11 07:58:43 CET 2017,345,Lunes,
Albert_Rivera,711,Sun Dec 10 20:26:34 CET 2017,344,Domingo,
Albert_Rivera,527,Sun Dec 10 15:59:14 CET 2017,344,Domingo,
Albert_Rivera,128,Sun Dec 10 15:08:11 CET 2017,344,Domingo,
Albert_Rivera,340,Sun Dec 10 15:04:19 CET 2017,344,Domingo,
Albert_Rivera,479,Sun Dec 10 14:37:20 CET 2017,344,Domingo,
Albert_Rivera,545,Sun Dec 10 13:36:05 CET 2017,344,Domingo,
Albert_Rivera,201,Sun Dec 10 13:31:27 CET 2017,344,Domingo,
Albert_Rivera,358,Sun Dec 10 00:02:59 CET 2017,344,Domingo,
Albert_Rivera,1700,Sat Dec 09 20:49:56 CET 2017,343,Sábado,
Albert_Rivera,115,Sat Dec 09 16:57:53 CET 2017,343,Sábado,
Albert_Rivera,627,Sat Dec 09 15:13:14 CET 2017,343,Sábado,
